Experience,Age,Education,Skill_Level,Salary
1.4,28,Bachelors,Beginner,26105.575336699327
9.0,43,Masters,Advanced,63309.65736504461
4.0,33,Masters,Beginner,18766.725504957027
2.7,24,Bachelors,Advanced,29710.890064527837
0.5,21,Masters,Advanced,38284.972732805545
0.5,27,Masters,Advanced,33485.65968850559
0.2,18,Masters,Beginner,14203.488838525445
6.0,40,Masters,Intermediate,40676.125393858914
2.8,33,Bachelors,Intermediate,32403.100132522766
3.7,26,Bachelors,Intermediate,31333.667841006896
0.1,16,Bachelors,Beginner,14325.339504151529
10.5,42,Masters,Advanced,66265.87794092656
5.4,29,High School,Intermediate,27381.20925478089
0.7,31,Masters,Intermediate,23707.94907750749
0.6,17,Masters,Intermediate,32796.87844734721
0.6,22,High School,Intermediate,17828.3976539433
1.1,26,Masters,Intermediate,34165.792604127484
2.2,27,High School,Intermediate,30826.580259612256
1.7,24,Bachelors,Advanced,35241.5544907398
1.0,29,Masters,Intermediate,26401.898436409756
2.8,22,High School,Expert,37118.65045168305
0.5,24,Masters,Advanced,32579.021968045417
1.0,26,Masters,Intermediate,23321.49069634936
1.4,28,Bachelors,Advanced,32121.796408608014
1.8,30,High School,Beginner,12536.801044200987
4.6,23,Bachelors,Advanced,43188.396942307816
0.7,18,Bachelors,Intermediate,18676.913513508036
2.2,33,PhD,Advanced,46568.29827936419
2.7,29,Bachelors,Advanced,35416.43935773071
0.1,21,Bachelors,Advanced,24205.475131479612
2.8,35,Bachelors,Advanced,38683.46900737637
0.6,26,Bachelors,Intermediate,20025.481716887378
0.2,31,Masters,Beginner,26052.48648728622
8.9,34,High School,Intermediate,29810.101598766258
10.1,45,Masters,Beginner,44023.89789773206
5.0,38,Bachelors,Intermediate,43294.644995291426
1.1,24,PhD,Intermediate,26048.34337697213
0.3,30,Bachelors,Expert,30511.27514737574
3.5,31,Bachelors,Intermediate,31769.539248294575
1.7,33,Masters,Advanced,39897.90890969799
0.4,20,High School,Beginner,16729.150496367794
2.1,30,Masters,Advanced,41745.93565073832
0.1,30,Bachelors,Advanced,30923.60734280885
7.2,23,High School,Intermediate,37048.49920978112
0.9,19,Bachelors,Intermediate,23649.093284642564
3.3,18,Masters,Advanced,38093.71172690729
1.1,24,High School,Beginner,19922.868506013656
2.2,30,Bachelors,Intermediate,35899.409674476075
2.4,34,Bachelors,Intermediate,26936.83126808713
0.6,25,Bachelors,Beginner,12887.353476646793
10.5,43,High School,Intermediate,46575.40334643486
4.5,22,Masters,Beginner,27622.09418023201
8.4,24,PhD,Beginner,29744.65226992982
6.8,31,PhD,Beginner,42901.10838575211
2.7,29,Masters,Expert,46283.359070230385
7.6,32,High School,Intermediate,33387.333588479196
0.3,14,Masters,Expert,36579.901652845074
0.7,25,High School,Intermediate,21112.49839889533
0.1,18,High School,Intermediate,21367.259085695197
1.2,29,Bachelors,Intermediate,22022.568147150785
1.5,28,Bachelors,Intermediate,27165.52899088041
0.9,21,Masters,Beginner,19822.266612080413
5.3,27,Bachelors,Intermediate,35694.05240443751
1.3,21,Bachelors,Intermediate,25876.83742006527
1.0,25,Bachelors,Intermediate,18322.806489777024
2.3,32,PhD,Intermediate,41879.91058087516
0.5,20,Bachelors,Beginner,14120.182774429759
4.9,32,Bachelors,Beginner,29800.288991405727
0.2,22,High School,Advanced,25236.4365670067
13.0,34,Masters,Intermediate,67750.91838397562
4.4,28,Bachelors,Beginner,23202.670088140738
0.7,20,Bachelors,Expert,30353.41601940901
0.0,22,High School,Beginner,14590.901970561337
5.1,24,Bachelors,Intermediate,29484.101085828624
3.7,38,Bachelors,Expert,50499.70950971025
3.9,29,Bachelors,Intermediate,21518.44695781706
4.4,25,PhD,Beginner,26915.587904268228
0.2,26,High School,Beginner,10212.985392104034
1.3,25,Bachelors,Intermediate,28351.537959867877
0.4,24,Masters,Beginner,29289.066862909625
6.0,34,Bachelors,Intermediate,34277.75390731264
2.9,31,Bachelors,Beginner,21555.891384049948
1.2,23,Bachelors,Intermediate,23350.260815565907
0.2,22,Bachelors,Expert,37009.39151304095
1.1,24,PhD,Advanced,34175.73432904714
1.2,14,Bachelors,Intermediate,22391.844913673925
3.9,21,Masters,Intermediate,38475.98814891215
3.0,34,Bachelors,Intermediate,31305.470849699224
6.5,39,Bachelors,Intermediate,37747.908082993716
1.9,25,High School,Intermediate,27325.230462835705
0.4,28,Bachelors,Beginner,4403.838535003813
3.7,30,Bachelors,Advanced,40139.37659765454
4.3,44,Masters,Intermediate,36809.62158436288
2.5,33,Bachelors,Beginner,12926.835515717716
4.4,28,PhD,Intermediate,43596.0129976249
2.0,22,High School,Intermediate,28828.29272581479
2.2,19,Masters,Advanced,35612.75742686154
1.7,27,Masters,Advanced,41964.372736014695
0.1,21,Masters,Advanced,38661.391289943225
0.3,18,Masters,Beginner,25966.572267920237
0.1,21,Masters,Intermediate,32679.822646856963
3.0,22,Bachelors,Intermediate,30110.63745535946
1.1,34,High School,Beginner,18377.168194507965
2.1,31,High School,Intermediate,15750.170940514157
7.1,32,Masters,Advanced,53669.687559350255
0.9,33,Bachelors,Beginner,15303.767023419041
1.6,26,Masters,Intermediate,40134.71358748907
4.2,24,Bachelors,Intermediate,28320.570937838318
0.8,33,High School,Beginner,18040.02403392243
0.2,27,High School,Intermediate,22377.426880202336
1.0,20,Bachelors,Expert,33218.01223186227
0.5,24,Bachelors,Advanced,35725.25520215376
8.0,28,Bachelors,Expert,53286.75319132774
5.0,23,Bachelors,Intermediate,31573.037276186213
3.0,32,High School,Beginner,16735.64707150976
6.2,40,Bachelors,Intermediate,29799.88744389647
4.9,22,Bachelors,Intermediate,27141.15454547357
0.6,28,Masters,Advanced,34014.81601475794
6.7,28,Bachelors,Beginner,25853.4888774137
2.3,24,Bachelors,Intermediate,21937.89510063072
4.9,26,High School,Beginner,15288.412681640832
6.8,27,High School,Intermediate,31084.472136856526
1.1,26,Bachelors,Advanced,21726.398129844987
0.3,21,Bachelors,Intermediate,24600.279818448013
0.8,27,Bachelors,Intermediate,23412.198764672517
1.7,26,Bachelors,Intermediate,17312.242502675348
5.1,28,Bachelors,Intermediate,30253.954614750684
5.9,26,Masters,Advanced,45739.21797204708
0.0,22,Masters,Advanced,32195.8725520959
2.1,30,High School,Expert,42072.25223011572
1.6,29,Bachelors,Advanced,21874.137651771278
0.8,20,High School,Intermediate,20015.130395737087
0.4,25,Bachelors,Intermediate,20999.336022166797
1.2,29,PhD,Intermediate,36026.70038225233
8.6,25,High School,Intermediate,35445.983141188444
1.2,28,Bachelors,Advanced,26240.153341305904
2.2,23,Bachelors,Beginner,18404.73032166691
3.6,31,Masters,Advanced,40119.87071598256
1.4,22,Bachelors,Intermediate,28580.03569299299
10.7,26,High School,Intermediate,38446.55824335971
9.8,26,Bachelors,Intermediate,50305.95342876504
0.9,26,Bachelors,Advanced,28446.695930926897
2.1,28,High School,Intermediate,19677.966165447688
1.1,21,Bachelors,Intermediate,14831.428036935864
1.0,29,High School,Beginner,8120.301618720274
0.1,16,High School,Intermediate,9539.320284972551
2.8,27,Bachelors,Beginner,22935.633255057415
2.1,21,High School,Advanced,29993.62511614967
0.2,21,Bachelors,Intermediate,12694.046489839333
1.0,26,Bachelors,Intermediate,27675.19157038058
7.2,27,Masters,Beginner,31952.694741582804
